Winnebago,"47,062"
Woodford,"56,401"
,
,
Adams,"42,799"
Allen,"50,640"
Bartholomew,"57,535"
Benton,"47,708"
Blackford,"40,164"
Boone,"80,234"
Brown,"51,632"
Carroll,"47,182"
Cass,"43,741"
Clark,"48,359"
Clay,"41,155"
Clinton,"41,545"
Crawford,"38,485"
Daviess,"48,845"
Dearborn,"52,083"
Decatur,"49,285"
DeKalb,"48,731"
Delaware,"42,000"
Dubois,"58,283"
Elkhart,"49,321"
Fayette,"43,818"
Floyd,"58,165"
Fountain,"44,585"
Franklin,"50,978"
Fulton,"45,545"
Gibson,"50,211"
Grant,"42,730"
Greene,"46,273"
Hamilton,"81,233"
Hancock,"54,658"
Harrison,"47,866"
Hendricks,"54,712"
Henry,"42,443"
Howard,"44,266"
Huntington,"45,486"
Jackson,"45,605"
Jasper,"50,378"
Jay,"42,428"
Jefferson,"47,176"
Jennings,"44,993"
Johnson,"53,112"
Knox,"49,308"
Kosciusko,"51,892"
Lagrange,"44,238"
Lake,"48,523"
LaPorte,"45,323"
Lawrence,"47,040"
Madison,"42,185"
Marion,"60,608"
Marshall,"46,031"
Martin,"45,326"
Miami,"37,084"
Monroe,"48,974"
Montgomery,"44,618"
Morgan,"47,662"
Newton,"45,837"
Noble,"44,250"
Ohio,"47,762"
Orange,"40,516"
Owen,"44,533"
Parke,"44,103"
Perry,"39,290"
Pike,"45,073"
Porter,"56,975"
Posey,"55,295"
Pulaski,"49,878"
Putnam,"42,380"
Randolph,"43,349"
Ripley,"45,942"
Rush,"49,214"
St. Joseph,"50,612"
Scott,"40,916"
Shelby,"47,828"
Spencer,"48,915"
Starke,"38,297"
Steuben,"48,787"
Sullivan,"39,300"
Switzerland,"39,226"
Tippecanoe,"43,243"
Tipton,"48,982"
Union,"43,019"
Vanderburgh,"51,565"
Vermillion,"41,723"
Vigo,"42,511"
Wabash,"46,803"
Warren,"48,047"
Warrick,"61,250"
Washington,"43,081"
Wayne,"45,140"
Wells,"45,661"
White,"47,617"
Whitley,"50,179"
,
Iowa,"53,312"
Adair,"54,324"
Adams,"53,550"
Allamakee,"49,538"
Appanoose,"43,053"
Audubon,"53,279"
Benton,"57,560"
Black Hawk,"48,983"
Boone,"51,104"
Bremer,"54,062"
Buchanan,"52,527"
Buena Vista,"45,550"
Butler,"49,855"
Calhoun,"50,233"
Carroll,"54,851"
Cass,"50,517"
Cedar,"56,933"
Cerro Gordo,"53,478"
Cherokee,"56,063"
Chickasaw,"58,687"
Clarke,"42,923"
Clay,"54,344"
Clayton,"55,732"
Clinton,"48,420"
Crawford,"45,659"
Dallas,"70,341"
Davis,"41,318"
Decatur,"38,817"
Delaware,"52,538"
Des Moines,"53,254"
Dickinson,"63,560"
Dubuque,"53,684"
Emmet,"45,761"
Fayette,"47,074"
Floyd,"49,861"
Franklin,"50,950"
Fremont,"53,171"
Greene,"52,189"
Grundy,"55,698"
Guthrie,"57,366"
Hamilton,"50,276"
Hancock,"52,914"
Hardin,"49,955"
Harrison,"48,857"
Henry,"45,033"
Howard,"51,067"
Humboldt,"51,870"
Ida,"57,586"
Iowa,"56,741"
Jackson,"49,345"
Jasper,"46,341"
Jefferson,"50,955"
