CTYNAME,YEAR,MEDIAN_AGE_TOT
Tehama County,3,40.5
Tehama County,4,40.3
Trinity County,1,52.1
Trinity County,2,52.1
Trinity County,3,51.8
Trinity County,4,52.0
Tulare County,1,31.5
Tulare County,2,31.5
Tulare County,3,31.7
Tulare County,4,32.0
Tuolumne County,1,48.2
Tuolumne County,2,48.2
Tuolumne County,3,48.0
Tuolumne County,4,47.7
Ventura County,1,38.8
Ventura County,2,38.9
Ventura County,3,39.3
Ventura County,4,39.7
Yolo County,1,31.7
Yolo County,2,31.8
Yolo County,3,32.8
Yolo County,4,31.5
Yuba County,1,33.4
Yuba County,2,33.5
Yuba County,3,33.7
Yuba County,4,33.9
Adams County,1,34.4
Adams County,2,34.4
Adams County,3,34.7
Adams County,4,34.8
Alamosa County,1,32.0
Alamosa County,2,32.1
Alamosa County,3,32.1
Alamosa County,4,32.4
Arapahoe County,1,37.0
Arapahoe County,2,37.1
Arapahoe County,3,37.2
Arapahoe County,4,37.4
Archuleta County,1,50.8
Archuleta County,2,50.8
Archuleta County,3,51.0
Archuleta County,4,51.4
Baca County,1,44.3
Baca County,2,44.2
Baca County,3,43.5
Baca County,4,43.2
Bent County,1,41.9
Bent County,2,42.3
Bent County,3,41.7
Bent County,4,41.8
Boulder County,1,36.8
Boulder County,2,36.9
Boulder County,3,37.7
Boulder County,4,37.7
Broomfield County,1,38.2
Broomfield County,2,38.3
Broomfield County,3,38.4
Broomfield County,4,38.6
Chaffee County,1,47.9
Chaffee County,2,48.0
Chaffee County,3,48.0
Chaffee County,4,47.0
Cheyenne County,1,42.1
Cheyenne County,2,42.2
Cheyenne County,3,42.7
Cheyenne County,4,42.4
Clear Creek County,1,48.7
Clear Creek County,2,48.6
Clear Creek County,3,48.3
Clear Creek County,4,48.2
Conejos County,1,39.7
Conejos County,2,39.7
Conejos County,3,39.6
Conejos County,4,39.6
Costilla County,1,49.6
Costilla County,2,49.6
Costilla County,3,49.0
Costilla County,4,49.8
Crowley County,1,39.2
Crowley County,2,39.5
Crowley County,3,39.3
Crowley County,4,39.1
Custer County,1,58.7
Custer County,2,58.8
Custer County,3,58.8
Custer County,4,57.8
Delta County,1,48.0
Delta County,2,48.3
Delta County,3,48.1
Delta County,4,47.9
Denver County,1,34.9
Denver County,2,34.9
Denver County,3,35.2
Denver County,4,35.1
Dolores County,1,47.6
Dolores County,2,47.4
Dolores County,3,47.6
Dolores County,4,46.6
Douglas County,1,39.1
Douglas County,2,39.1
Douglas County,3,39.3
Douglas County,4,39.6
Eagle County,1,38.9
Eagle County,2,39.1
Eagle County,3,39.7
Eagle County,4,40.4
Elbert County,1,45.6
Elbert County,2,45.5
Elbert County,3,45.2
Elbert County,4,44.7
El Paso County,1,34.7
El Paso County,2,34.7
El Paso County,3,35.0
El Paso County,4,35.1
Fremont County,1,44.6
Fremont County,2,44.6
Fremont County,3,44.4
Fremont County,4,44.2
Garfield County,1,37.2
Garfield County,2,37.3
Garfield County,3,37.5
Garfield County,4,37.7
Gilpin County,1,48.3
Gilpin County,2,48.3
Gilpin County,3,48.4
Gilpin County,4,48.3
Grand County,1,44.7
Grand County,2,44.8
Grand County,3,44.7
Grand County,4,45.2
Gunnison County,1,36.0
Gunnison County,2,36.1
Gunnison County,3,36.4
Gunnison County,4,36.8
Hinsdale County,1,56.1
Hinsdale County,2,56.2
Hinsdale County,3,57.0
Hinsdale County,4,56.6
Huerfano County,1,54.8
Huerfano County,2,54.7
Huerfano County,3,54.4
Huerfano County,4,53.7
Jackson County,1,47.3
