CTYNAME,MEDIAN_AGE_TOT
Fulton,41.7
Gibson,39.9
Grant,39.7
Greene,43.1
Hamilton,38.3
Hancock,40.4
Harrison,42.5
Hendricks,38.6
Henry,42.2
Howard,40.6
Huntington,40.9
Jackson,40.0
Jasper,41.5
Jay,40.2
Jefferson,42.0
Jennings,40.6
Johnson,38.0
Knox,39.1
Kosciusko,39.1
LaGrange,32.3
Lake,39.9
LaPorte,41.1
Lawrence,43.0
Madison,40.8
Marion,34.6
Marshall,40.2
Martin,42.9
Miami,40.7
Monroe,31.1
Montgomery,40.2
Morgan,42.3
Newton,43.5
Noble,39.5
Ohio,46.2
Orange,42.7
Owen,45.0
Parke,41.5
Perry,41.5
Pike,43.2
Porter,40.9
Posey,43.4
Pulaski,43.4
Putnam,38.9
Randolph,42.7
Ripley,41.1
Rush,42.1
St. Joseph,36.7
Scott,40.7
Shelby,41.6
Spencer,43.8
Starke,42.7
Steuben,43.8
Sullivan,41.8
Switzerland,42.3
Tippecanoe,28.8
Tipton,44.6
Union,43.9
Vanderburgh,38.8
Vermillion,42.9
Vigo,36.3
Wabash,43.4
Warren,43.5
Warrick,41.1
Washington,41.8
Wayne,40.8
Wells,39.8
White,42.8
Whitley,41.5
Adair,43.3
Adams,46.2
Allamakee,43.5
Appanoose,45.1
Audubon,46.2
Benton,42.5
Black Hawk,35.6
Boone,42.5
Bremer,39.4
Buchanan,40.1
Buena Vista,36.1
Butler,43.7
Calhoun,43.0
Carroll,41.8
Cass,43.6
Cedar,44.0
Cerro Gordo,44.2
Cherokee,44.4
Chickasaw,43.6
Clarke,40.0
Clay,42.3
Clayton,46.0
Clinton,42.3
Crawford,38.6
Dallas,36.0
Davis,36.9
Decatur,37.5
Delaware,43.4
Des Moines,42.2
Dickinson,48.6
Dubuque,39.1
Emmet,44.1
Fayette,43.2
Floyd,43.0
Franklin,42.9
Fremont,45.4
Greene,43.9
Grundy,41.9
Guthrie,45.8
Hamilton,43.1
Hancock,44.5
Hardin,45.3
Harrison,42.5
Henry,40.6
Howard,40.9
Humboldt,41.8
Ida,41.6
Iowa,42.2
Jackson,44.4
Jasper,41.3
Jefferson,45.3
Johnson,31.1
Jones,43.8
Keokuk,43.0
Kossuth,44.9
Lee,43.5
Linn,39.0
Louisa,43.0
Lucas,43.6
Lyon,38.2
Madison,41.2
Mahaska,39.6
Marion,40.3
Marshall,38.1
Mills,43.3
Mitchell,42.2
Monona,44.5
Monroe,42.0
Montgomery,43.5
Muscatine,39.5
O'Brien,41.0
Osceola,43.8
Page,45.0
Palo Alto,42.0
Plymouth,41.0
Pocahontas,44.9
Polk,36.3
Pottawattamie,40.4
Poweshiek,40.7
Ringgold,43.0
Sac,44.7
Scott,39.3
Shelby,45.1
Sioux,34.4
Story,26.6
Tama,41.7
Taylor,41.8
Union,41.4
Van Buren,43.6
Wapello,39.5
Warren,38.8
Washington,40.3
Wayne,40.8
Webster,39.1
Winnebago,41.5
Winneshiek,43.1
Woodbury,36.2
Worth,44.2
Wright,42.1
Allen,40.8
Anderson,41.4
Atchison,36.9
Barber,43.6
Barton,40.3
Bourbon,38.5
Brown,41.0
Butler,38.4
Chase,44.4
Chautauqua,45.0
Cherokee,42.1
Cheyenne,44.5
Clark,41.1
Clay,43.4
Cloud,40.2
Coffey,43.7
Comanche,44.3
Cowley,39.1
Crawford,33.5
Decatur,50.2
Dickinson,42.5
Doniphan,41.5
Douglas,31.4
Edwards,43.9
Elk,48.4
Ellis,33.1
Ellsworth,43.1
Finney,31.9
Ford,32.0
Franklin,40.2
Geary,26.9
Gove,41.9
Graham,47.5
Grant,34.4
Gray,35.4
Greeley,38.6
Greenwood,47.5
Hamilton,37.0
Harper,42.1
Harvey,40.0
Haskell,37.1
Hodgeman,42.1
Jackson,40.8
Jefferson,43.8
Jewell,51.2
Johnson,38.6
Kearny,35.9
Kingman,42.6
Kiowa,40.6
Labette,41.1
Lane,44.4
Leavenworth,38.3
Lincoln,45.9
Linn,45.5
Logan,40.3
Lyon,33.3
McPherson,39.7
Marion,43.4
Marshall,42.4
Meade,38.5
Miami,41.6
Mitchell,42.0
Montgomery,40.7
Morris,45.6
Morton,41.6
Nemaha,38.7
Neosho,40.1
Ness,45.4
Norton,41.6
Osage,42.7
Osborne,45.2
Ottawa,43.0
Pawnee,46.2
Phillips,45.5
Pottawatomie,36.1
Pratt,39.3
Rawlins,45.4
Reno,40.8
Republic,46.1
Rice,39.2
Riley,25.2
Rooks,44.1
Rush,46.7
Russell,44.6
Saline,40.4
Scott,38.6
Sedgwick,36.3
Seward,30.5
Shawnee,40.0
Sheridan,42.3
